,0,1
0,1301,極洋
1,1332,日本水産
2,1333,マルハニチロ
3,1375,雪国まいたけ
4,1376,カネコ種苗
5,1377,サカタのタネ
6,1379,ホクト
7,1380,秋川牧園
8,1381,アクシーズ
9,1382,ホーブ
10,1383,ベルグアース
11,1384,ホクリヨウ
12,1400,ルーデン・ホールディングス
13,1401,エムビーエス
14,1407,ウエストホールディングス
15,1414,ショーボンドホールディングス
16,1417,ミライト・ワン
17,1418,インターライフホールディングス
18,1419,タマホーム
19,1420,サンヨーホームズ
20,1429,日本アクア
21,1430,ファーストコーポレーション
22,1431,Ｌｉｂ　Ｗｏｒｋ
23,1433,ベステラ
24,1434,ＪＥＳＣＯホールディングス
25,1435,Ｒｏｂｏｔ　Ｈｏｍｅ
26,1436,フィット
27,1438,岐阜造園
28,1439,安江工務店
29,1443,技研ホールディングス
30,1444,ニッソウ
31,1446,キャンディル
32,1447,ＩＴｂｏｏｋホールディングス
33,1450,田中建設工業
34,1451,ＫＨＣ
35,1491,中外鉱業
36,1514,住石ホールディングス
37,1515,日鉄鉱業
38,1518,三井松島ホールディングス
39,1605,ＩＮＰＥＸ
40,1662,石油資源開発
41,1663,Ｋ＆Ｏエナジーグループ
42,1711,ＳＤＳホールディングス
43,1712,ダイセキ環境ソリューション
44,1716,第一カッター興業
45,1717,明豊ファシリティワークス
46,1718,美樹工業
47,1719,安藤・間
48,1720,東急建設
49,1721,コムシスホールディングス
50,1723,日本電技
51,1724,シンクレイヤ
52,1726,ビーアールホールディングス
53,1730,麻生フオームクリート
54,1736,オーテック
55,1739,メルディアＤＣ
56,1743,コーアツ工業
57,1757,中小企業ホールディングス
58,1758,太洋基礎工業
59,1762,高松コンストラクショングループ
60,1764,工藤建設
61,1766,東建コーポレーション
62,1768,ソネック
63,1770,藤田エンジニアリング
64,1775,富士古河Ｅ＆Ｃ
65,1776,三井住建道路
66,1780,ヤマウラ
67,1783,アジアゲートホールディングス
68,1786,オリエンタル白石
69,1787,ナカボーテック
70,1788,三東工業社
71,1789,ＥＴＳホールディングス
72,1793,大本組
73,1795,マサル
74,1798,守谷商会
75,1799,第一建設工業
76,1801,大成建設
77,1802,大林組
78,1803,清水建設
79,1805,飛島建設
80,1807,佐藤渡辺
81,1808,長谷工コーポレーション
82,1810,松井建設
83,1811,錢高組
84,1812,鹿島建設
85,1813,不動テトラ
86,1814,大末建設
87,1815,鉄建建設
88,1820,西松建設
89,1821,三井住友建設
90,1822,大豊建設
91,1826,佐田建設
92,1827,ナカノフドー建設
93,1828,田辺工業
94,1833,奥村組
95,1835,東鉄工業
96,1840,土屋ホールディングス
97,1841,サンユー建設
98,1844,大盛工業
99,1847,イチケン
100,1848,富士ピー・エス
101,1850,南海辰村建設
102,1852,淺沼組
103,1853,森組
104,1860,戸田建設
105,1861,熊谷組
106,1866,北野建設
107,1867,植木組
108,1870,矢作建設工業
109,1871,ピーエス三菱
110,1873,日本ハウスホールディングス
111,1878,大東建託
112,1879,新日本建設
113,1882,東亜道路工業
114,1884,日本道路
115,1885,東亜建設工業
116,1887,日本国土開発
117,1888,若築建設
118,1890,東洋建設
119,1893,五洋建設
120,1897,金下建設
121,1898,世紀東急工業
122,1899,福田組
123,1904,大成温調
124,1905,テノックス
125,1909,日本ドライケミカル
126,1911,住友林業
127,1914,日本基礎技術
128,1921,巴コーポレーション
129,1925,大和ハウス工業
130,1926,ライト工業
131,1928,積水ハウス
132,1929,日特建設
133,1930,北陸電気工事
134,1934,ユアテック
135,1938,日本リーテック
136,1939,四電工
137,1941,中電工
138,1942,関電工
139,1944,きんでん
140,1945,東京エネシス
141,1946,トーエネック
142,1948,弘電社
143,1949,住友電設
144,1950,日本電設工業
145,1951,エクシオグループ
146,1952,新日本空調
147,1954,日本工営
148,1959,九電工
149,1960,サンテック
150,1961,三機工業
151,1963,日揮ホールディングス
152,1964,中外炉工業
153,1965,テクノ菱和
154,1966,高田工業所
155,1967,ヤマト
156,1968,太平電業
157,1969,高砂熱学工業
158,1971,中央ビルト工業
159,1972,三晃金属工業
160,1973,ＮＥＣネッツエスアイ
161,1975,朝日工業社
162,1976,明星工業
163,1979,大氣社
164,1980,ダイダン
165,1981,協和日成
166,1982,日比谷総合設備
167,1992,神田通信機
168,1994,高橋カーテンウォール工業
169,1997,暁飯島工業
170,2001,ニップン
171,2002,日清製粉グループ本社
172,2003,日東富士製粉
173,2004,昭和産業
174,2009,鳥越製粉
175,2053,中部飼料
176,2055,日和産業
177,2060,フィード・ワン
178,2107,東洋精糖
179,2108,日本甜菜製糖
180,2109,ＤＭ三井製糖ホールディングス
181,2112,塩水港精糖
182,2114,フジ日本精糖
183,2117,日新製糖
184,2120,ＬＩＦＵＬＬ
185,2121,ＭＩＸＩ
186,2122,インタースペース
187,2124,ジェイエイシーリクルートメント
188,2127,日本Ｍ＆Ａセンターホールディングス
189,2130,メンバーズ
190,2134,燦キャピタルマネージメント
191,2136,ヒップ
192,2138,クルーズ
193,2139,中広
194,2146,ＵＴグループ
195,2148,アイティメディア
196,2150,ケアネット
197,2152,幼児活動研究会
198,2153,Ｅ・Ｊホールディングス
199,2154,夢真ビーネックスグループ
200,2156,セーラー広告
201,2157,コシダカホールディングス
202,2158,ＦＲＯＮＴＥＯ
203,2160,ジーエヌアイグループ
204,2162,ｎｍｓ　ホールディングス
205,2163,アルトナー
206,2164,地域新聞社
207,2168,パソナグループ
208,2169,ＣＤＳ
209,2170,リンクアンドモチベーション
210,2173,博展
211,2175,エス・エム・エス
212,2179,成学社
213,2180,サニーサイドアップグループ
214,2181,パーソルホールディングス
215,2183,リニカル
216,2185,シイエム・シイ
217,2186,ソーバル
218,2193,クックパッド
219,2195,アミタホールディングス
220,2196,エスクリ
221,2198,アイ・ケイ・ケイホールディングス
222,2201,森永製菓
223,2204,中村屋
224,2206,江崎グリコ
225,2207,名糖産業
226,2208,ブルボン
227,2209,井村屋グループ
228,2211,不二家
229,2212,山崎製パン
230,2215,第一屋製パン
231,2216,カンロ
232,2217,モロゾフ
233,2220,亀田製菓
234,2221,岩塚製菓
235,2222,寿スピリッツ
236,2224,コモ
237,2226,湖池屋
238,2229,カルビー
239,2264,森永乳業
240,2266,六甲バター
241,2267,ヤクルト本社
242,2268,Ｂ−Ｒ　サーティワン　アイスクリーム
243,2269,明治ホールディングス
244,2270,雪印メグミルク
245,2281,プリマハム
246,2282,日本ハム
247,2286,林兼産業
248,2288,丸大食品
249,2291,福留ハム
250,2292,Ｓ　Ｆｏｏｄｓ
251,2293,滝沢ハム
252,2294,柿安本店
253,2296,伊藤ハム米久ホールディングス
254,2300,きょくとう
255,2301,学情
256,2303,ドーン
257,2304,ＣＳＳホールディングス
258,2305,スタジオアリス
259,2307,クロスキャット
260,2309,シミックホールディングス
261,2311,エプコ
262,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ
263,2317,システナ
264,2321,ソフトフロントホールディングス
265,2323,ｆｏｎｆｕｎ
266,2325,ＮＪＳ
267,2326,デジタルアーツ
268,2327,日鉄ソリューションズ
269,2329,東北新社
270,2330,フォーサイド
271,2331,綜合警備保障
272,2332,クエスト
273,2334,イオレ
274,2335,キューブシステム
275,2337,いちご
276,2338,クオンタムソリューションズ
277,2340,極楽湯ホールディングス
278,2341,アルバイトタイムス
279,2342,トランスジェニック
280,2344,平安レイサービス
281,2345,クシム
282,2349,エヌアイデイ
283,2351,ＡＳＪ
284,2353,日本駐車場開発
285,2354,ＹＥ　ＤＩＧＩＴＡＬ
286,2359,コア
287,2370,メディネット
288,2371,カカクコム
289,2372,アイロムグループ
290,2373,ケア２１
291,2374,セントケア・ホールディング
292,2375,ギグワークス
293,2376,サイネックス
294,2378,ルネサンス
295,2379,ディップ
296,2384,ＳＢＳホールディングス
297,2385,総医研ホールディングス
298,2388,ウェッジホールディングス
299,2389,デジタルホールディングス
300,2391,プラネット
301,2393,日本ケアサプライ
302,2395,新日本科学
303,2397,ＤＮＡチップ研究所
304,2402,アマナ
305,2404,鉄人化計画
306,2408,ＫＧ情報
307,2410,キャリアデザインセンター
308,2411,ゲンダイエージェンシー
309,2412,ベネフィット・ワン
310,2413,エムスリー
311,2415,ヒューマンホールディングス
312,2418,ツカダ・グローバルホールディング
313,2424,ブラス
314,2425,ケアサービス
315,2427,アウトソーシング
316,2428,ウェルネット
317,2429,ワールドホールディングス
318,2432,ディー・エヌ・エー
319,2433,博報堂ＤＹホールディングス
320,2435,シダー
321,2436,共同ピーアール
322,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ
323,2438,アスカネット
324,2440,ぐるなび
325,2445,タカミヤ
326,2449,プラップジャパン
327,2453,ジャパンベストレスキューシステム
328,2454,オールアバウト
329,2459,アウンコンサルティング
330,2461,ファンコミュニケーションズ
331,2462,ライク
332,2464,ビジネス・ブレークスルー
333,2468,フュートレック
334,2469,ヒビノ
335,2471,エスプール
336,2475,ＷＤＢホールディングス
337,2477,手間いらず
338,2479,ジェイテック
339,2480,システム・ロケーション
340,2481,タウンニュース社
341,2483,翻訳センター
342,2484,出前館
343,2485,ティア
344,2487,ＣＤＧ
